rank,feature,display_name,mean_abs_shap_value
1,EXT_SOURCE_2,External credit score 2,0.32783228
2,EXT_SOURCE_3,External credit score 3,0.32170308
3,EXT_SOURCE_1,External credit score 1,0.15481527
4,credit_annuity_ratio,Credit-to-annuity ratio,0.15330407
5,ORGANIZATION_TYPE,Employer organization type,0.1439323
6,goods_credit_ratio,Goods price-to-credit ratio,0.109489955
7,prev_avg_term,Average previous loan term,0.102491915
8,CODE_GENDER,Gender,0.0970563
9,DAYS_EMPLOYED,Days employed (negative = past),0.09241517
10,prev_grant_ratio,Previous grant-to-request ratio,0.09147982
11,DAYS_BIRTH,"Applicant age (days, negative = past)",0.08705327
12,OWN_CAR_AGE,Car age (years),0.086216494
13,AMT_ANNUITY,Loan annuity (installment amount),0.08229123
14,debt_income_ratio,Bureau debt-to-income ratio,0.07301786
15,NAME_EDUCATION_TYPE,Education level,0.0684932
16,OCCUPATION_TYPE,Occupation,0.0674853
17,AMT_GOODS_PRICE,Price of goods being financed,0.059030186
18,NAME_FAMILY_STATUS,Family status,0.058898956
19,DAYS_ID_PUBLISH,Days since ID document issued,0.055871993
20,prev_refusal_ratio,Previous application refusal ratio,0.053541835
21,prev_avg_requested,Average previously requested amount,0.052333493
22,prev_avg_granted,Average previously granted amount,0.05060105
23,bureau_active_loans,Number of active bureau loans,0.049319528
24,bureau_closed_loans,Number of closed bureau loans,0.048439212
25,AMT_CREDIT,Requested credit amount,0.038679905
26,bureau_total_credit,Total bureau-reported credit,0.03845181
27,bureau_avg_credit,Average bureau-reported credit,0.038020328
28,FLAG_WORK_PHONE,FLAG_WORK_PHONE,0.036645044
29,bureau_max_credit,Maximum bureau-reported credit,0.036609337
30,REGION_POPULATION_RELATIVE,Region population density (relative),0.03597142
31,annuity_income_ratio,Annuity-to-income ratio,0.033636685
32,WEEKDAY_APPR_PROCESS_START,WEEKDAY_APPR_PROCESS_START,0.03347623
33,FLAG_DOCUMENT_3,FLAG_DOCUMENT_3,0.032891273
34,REGION_RATING_CLIENT_W_CITY,REGION_RATING_CLIENT_W_CITY,0.032639492
35,DAYS_LAST_PHONE_CHANGE,Days since last phone number change,0.030955782
36,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_QRT,0.028782437
37,DAYS_REGISTRATION,Days since registration change,0.02591892
38,credit_income_ratio,Credit-to-income ratio,0.02575396
39,bureau_total_debt,Total bureau-reported debt,0.025719292
40,AMT_INCOME_TOTAL,Total applicant income,0.024415752
41,DEF_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,0.023746576
42,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_LIVE_CITY,0.021898719
43,prev_app_count,Number of previous Home Credit applications,0.021395747
44,prev_approval_ratio,Previous application approval ratio,0.020499742
45,NAME_CONTRACT_TYPE,NAME_CONTRACT_TYPE,0.018791696
46,NAME_INCOME_TYPE,Income type,0.017936205
47,WALLSMATERIAL_MODE,WALLSMATERIAL_MODE,0.01628859
48,DEF_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,0.016105155
49,HOUR_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,0.01579606
50,NONLIVINGAREA_MODE,NONLIVINGAREA_MODE,0.015150906
51,income_per_person,Income per family member,0.014845024
52,NAME_HOUSING_TYPE,NAME_HOUSING_TYPE,0.013682341
53,TOTALAREA_MODE,TOTALAREA_MODE,0.0130680455
54,NONLIVINGAREA_AVG,NONLIVINGAREA_AVG,0.012862656
55,AMT_REQ_CREDIT_BUREAU_YEAR,AMT_REQ_CREDIT_BUREAU_YEAR,0.012687692
56,APARTMENTS_AVG,APARTMENTS_AVG,0.011811073
57,NAME_TYPE_SUITE,NAME_TYPE_SUITE,0.011616396
58,ELEVATORS_AVG,ELEVATORS_AVG,0.011248536
59,FLAG_PHONE,FLAG_PHONE,0.0107348
60,BASEMENTAREA_MODE,BASEMENTAREA_MODE,0.0102716
61,ENTRANCES_AVG,ENTRANCES_AVG,0.010161456
62,APARTMENTS_MODE,APARTMENTS_MODE,0.010079325
63,BASEMENTAREA_MEDI,BASEMENTAREA_MEDI,0.009839238
64,OBS_60_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,0.009834362
65,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BEGINEXPLUATATION_MEDI,0.009681857
66,YEARS_BEGINEXPLUATATION_MODE,YEARS_BEGINEXPLUATATION_MODE,0.009203974
67,LIVINGAREA_AVG,LIVINGAREA_AVG,0.008943403
68,BASEMENTAREA_AVG,BASEMENTAREA_AVG,0.00891424
69,bureau_total_loans,Number of bureau-reported loans,0.008834618
70,NONLIVINGAREA_MEDI,NONLIVINGAREA_MEDI,0.008752263
71,YEARS_BEGINEXPLUATATION_AVG,YEARS_BEGINEXPLUATATION_AVG,0.008426265
72,COMMONAREA_AVG,COMMONAREA_AVG,0.008059056
73,LIVINGAPARTMENTS_MEDI,LIVINGAPARTMENTS_MEDI,0.007962937
74,YEARS_BUILD_AVG,YEARS_BUILD_AVG,0.00795078
75,LANDAREA_MODE,LANDAREA_MODE,0.0079361
76,FLAG_OWN_CAR,Owns a car,0.0074651116
77,LIVINGAPARTMENTS_AVG,LIVINGAPARTMENTS_AVG,0.0071460153
78,FLAG_OWN_REALTY,Owns real estate,0.006805018
79,LANDAREA_AVG,LANDAREA_AVG,0.006172015
80,FONDKAPREMONT_MODE,FONDKAPREMONT_MODE,0.006151038
81,FLOORSMIN_AVG,FLOORSMIN_AVG,0.0061088195
82,LIVINGAREA_MEDI,LIVINGAREA_MEDI,0.0060022264
83,OBS_30_CNT_SOCIAL_CIRCLE,OBS_30_CNT_SOCIAL_CIRCLE,0.005799302
84,LANDAREA_MEDI,LANDAREA_MEDI,0.005742587
85,LIVINGAREA_MODE,LIVINGAREA_MODE,0.0055369204
86,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAPARTMENTS_MEDI,0.0054986663
87,bureau_credit_type_variety,Variety of bureau credit types,0.00529636
88,APARTMENTS_MEDI,APARTMENTS_MEDI,0.0051916237
89,FLOORSMAX_AVG,FLOORSMAX_AVG,0.0050700614
90,COMMONAREA_MODE,COMMONAREA_MODE,0.004954229
91,LIVINGAPARTMENTS_MODE,LIVINGAPARTMENTS_MODE,0.004891562
92,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_MON,0.0046997378
93,COMMONAREA_MEDI,COMMONAREA_MEDI,0.0044820835
94,NONLIVINGAPARTMENTS_AVG,NONLIVINGAPARTMENTS_AVG,0.004331974
95,FLOORSMAX_MEDI,FLOORSMAX_MEDI,0.0042652856
96,YEARS_BUILD_MODE,YEARS_BUILD_MODE,0.0041030836
97,FLAG_DOCUMENT_16,FLAG_DOCUMENT_16,0.004046371
98,bureau_total_overdue,Total bureau-reported overdue amount,0.0036781512
99,ENTRANCES_MODE,ENTRANCES_MODE,0.0035467525
100,YEARS_BUILD_MEDI,YEARS_BUILD_MEDI,0.0033629283
101,FLAG_DOCUMENT_6,FLAG_DOCUMENT_6,0.003166796
102,CNT_CHILDREN,Number of children,0.003135932
103,REGION_RATING_CLIENT,Region risk rating,0.0030423577
104,bureau_total_prolongs,Number of bureau credit prolongations,0.0030223345
105,FLAG_DOCUMENT_8,FLAG_DOCUMENT_8,0.002930684
106,CNT_FAM_MEMBERS,Number of family members,0.002808344
107,ENTRANCES_MEDI,ENTRANCES_MEDI,0.0027748428
108,FLOORSMIN_MODE,FLOORSMIN_MODE,0.0023342413
109,FLAG_DOCUMENT_13,FLAG_DOCUMENT_13,0.0022823447
110,NONLIVINGAPARTMENTS_MODE,NONLIVINGAPARTMENTS_MODE,0.002278824
111,FLAG_DOCUMENT_18,FLAG_DOCUMENT_18,0.0020873589
112,FLOORSMAX_MODE,FLOORSMAX_MODE,0.0019164273
113,bureau_max_days_overdue,Maximum days overdue (bureau),0.0018636276
114,FLAG_EMAIL,FLAG_EMAIL,0.0016457326
115,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_DAY,0.0016413544
116,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_WEEK,0.0016307492
117,REG_REGION_NOT_WORK_REGION,REG_REGION_NOT_WORK_REGION,0.0016249144
118,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_LIVE_REGION,0.0015847693
119,bureau_had_negative_debt,Had a negative bureau debt value (data anomaly flag),0.0015595151
120,LIVE_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,0.0015390805
121,REG_CITY_NOT_WORK_CITY,REG_CITY_NOT_WORK_CITY,0.001467234
122,FLOORSMIN_MEDI,FLOORSMIN_MEDI,0.0014368672
123,FLAG_DOCUMENT_5,FLAG_DOCUMENT_5,0.0013364374
124,ELEVATORS_MEDI,ELEVATORS_MEDI,0.00096873636
125,FLAG_DOCUMENT_11,FLAG_DOCUMENT_11,0.00070223515
126,LIVE_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,0.00064629345
127,HOUSETYPE_MODE,HOUSETYPE_MODE,0.000587595
128,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_HOUR,0.0005392853
129,ELEVATORS_MODE,ELEVATORS_MODE,0.00043718016
130,FLAG_DOCUMENT_14,FLAG_DOCUMENT_14,0.0004097823
